Sample,Developmental_stage,Soil_origin,Rhizosphere_compartments,Plant,Hypervariable_region,Study
C_1b_N,Vegetative,Corsica,N,Medicago truncatula,V4,Brown 2020
C_1a_S,Vegetative,Corsica,S,Medicago truncatula,V4,Brown 2020
C_1a_R,Vegetative,Corsica,R,Medicago truncatula,V4,Brown 2020
C_1a_N,Vegetative,Corsica,N,Medicago truncatula,V4,Brown 2020
F_96e_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_96e_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_96e_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_96d_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_96d_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_96d_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_96c_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_96c_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_96c_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_96b_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_96b_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_96b_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_96a_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_96a_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_96a_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_27e_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_27e_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_27e_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_27d_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
F_27d_R,Vegetative,France,R,Medicago truncatula,V4,Brown 2020
F_27d_N,Vegetative,France,N,Medicago truncatula,V4,Brown 2020
F_27b_S,Vegetative,France,S,Medicago truncatula,V4,Brown 2020
C_96d_S,Vegetative,Corsica,S,Medicago truncatula,V4,Brown 2020
C_96d_R,Vegetative,Corsica,R,Medicago truncatula,V4,Brown 2020
C_96d_N,Vegetative,Corsica,N,Medicago truncatula,V4,Brown 2020
C_96c_S,Vegetative,Corsica,S,Medicago truncatula,V4,Brown 2020
