Species,D1,D2,D3,E1,E2,E3
GGB52634 SGB73515,21.131465,23.202125,21.970155,9.50836833333333,8.77330666666667,8.73158333333334
Bradyrhizobium canariense,15.914035,15.69432,17.718575,47.1434,48.9427416666667,50.219205
Gemmatirosa kalamazoonesis,12.69206,12.67035,14.365815,9.69161833333333,9.17873166666667,9.11365666666667
Mycobacterium sp ITM 2016 00318,10.72896,8.977275,7.79478,6.06926333333333,6.108455,5.37693
GGB64512 SGB87014,10.71464,11.33883,10.69863,7.930085,6.62061833333333,6.24812166666667
Acidobacteriaceae bacterium URHE0068,8.877185,8.295635,8.5518,0.013158333333333,0.04478,0.046218333333333
Sphingomonas sp YJ09,3.41694,3.87645,3.796215,0.342395,0.144791666666667,0.169371666666667
Marmoricola sp URHB0036,1.553735,1.640665,1.59865,2.467155,2.64888166666667,1.96629833333333
Altererythrobacter segetis,1.651835,1.586665,1.386215,0.677366666666667,0.7199,0.588595
Bryobacterales bacterium KBS 96,1.58447,1.642395,1.714415,0,0,0
Massilia sp TW 1,1.48275,1.131485,0.980715,0,0,0
Geodermatophilus daqingensis,1.26536,1.457395,1.249215,0,0,0
GGB64272 SGB86721,1.04635,0.81901,0.825485,0.036631666666667,0,0.151575
Ferruginibacter sp BO 59,0.933225,0.87329,1.02982,0.209651666666667,0.162728333333333,0.060438333333333
Leifsonia sp CL147,0.67309,0.77046,0.781705,0,0,0
Streptomyces canus,0.73963,0,0.996735,0,0,0
Nitrososphaerales archaeon TH5894,0.637795,0.537205,0.48228,1.37551666666667,1.40758666666667,1.60594833333333
GGB65631 SGB88778,0.363745,0.15661,0.453855,0,0,0
GGB36523 SGB56586,0.38828,0.4271,0.387185,0,0,0
Priestia megaterium,0.4333,0.54389,0.747005,0,0,0
Streptomyces sp NRRL WC 3618,0.5158,0.186075,0.07759,0.049283333333333,0.034678333333333,0.623593333333333
Paraburkholderia graminis,0.2961,1.168795,0.14534,0.07039,0.055795,0.034388333333333
Urbifossiella limnaea,0.240045,0.214145,0.228145,0.448553333333333,0.339713333333333,0.302713333333333
Paludisphaera borealis,0.203975,0.15825,0.203465,0,0,0
Neobacillus niacini,0.309545,0.073955,0.147945,0,0,0
Bradyrhizobium sp MOS002,0.357075,0.54782,0.35229,2.19800666666667,2.42645666666667,2.32300666666667
Massilia sp Root335,0.161865,0.23162,0.18369,0,0,0
Sphingomonas sp URHD0057,0.156735,0.14162,0.18278,0,0,0
Sphingomonas sp URHD0007,0.17792,0.123755,0.158965,0,0,0
Solirubrobacter soli,0.173625,0.1764,0.13518,0.005001666666667,0,0.031033333333333
Lysobacter telluris,0.075375,0.106675,0,0,0,0
Chloroflexi bacterium,0.05612,0.037855,0,0,0,0
Rhodospirillales bacterium URHD0017,0.087905,0.208645,0.16314,0.260958333333333,0.271018333333333,0.217356666666667
Labedaea rhizosphaerae,0.155325,0.22573,0.19837,0,0,0
Actinobacteria bacterium,0.047745,0,0,0,0,0
Mesorhizobium sp B1 1 1,0.623055,0.46071,0.17475,1.058105,1.33990833333333,1.92119
GGB64091 SGB86497,0.05996,0.185365,0.090965,0.179711666666667,0.355665,0.213451666666667
Ornithinicoccus soli,0.061685,0,0,0,0,0
Geodermatophilaceae bacterium URHB0062,0.007055,0.0144,0,0,0,0
Ilyomonas limi,0.004235,0.030595,0.02814,0,0,0
Frateuria terrea,0,0.034015,0,0,0,0
Rhodoplanes sp Z2 YC6860,0,0.0324,0,3.48359666666667,3.78083,3.25130833333333
Variovorax sp URHB0020,0,0,0,3.746455,3.985895,3.29570166666667
Mesorhizobium ciceri,0,0,0,2.86088833333333,2.51659333333333,3.21140666666667
Methylobacterium sp OAE512b,0,0,0,0.174435,0.132373333333333,0.290503333333333
Luteitalea pratensis,0,0,0,0,0.008548333333333,0.006396666666667
